epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1380.77,1.13349,1.02484,1.07636,0.62188,0.625,0.5625,0.19143,2.19025,2.24273,1.44721,0.00102928,0.00102928,0.00102928
44,1413.57,1.1049,0.93044,0.92523,0.66355,0.625,0.57083,0.22464,2.0202,2.39077,1.32893,0.00101976,0.00101976,0.00101976
45,1445.23,1.24546,1.4581,1.05716,0.66355,0.625,0.57083,0.22464,2.0202,2.39077,1.32893,0.00101025,0.00101025,0.00101025
46,1479.79,1.37779,1.10186,0.96231,0.66355,0.625,0.57083,0.22464,2.0202,2.39077,1.32893,0.00100073,0.00100073,0.00100073
47,1513.22,1.35701,1.07827,1.1801,0.5008,0.75,0.46733,0.20961,1.77711,2.34123,1.21608,0.000991212,0.000991212,0.000991212
48,1543.99,1.17968,0.95795,1.01309,0.5008,0.75,0.46733,0.20961,1.77711,2.34123,1.21608,0.000981694,0.000981694,0.000981694
49,1574.94,1.44081,1.10527,1.10953,0.3284,0.75,0.51424,0.21704,1.87762,2.25717,1.24704,0.000972177,0.000972177,0.000972177
50,1603.81,1.14762,0.97761,1.00877,0.3284,0.75,0.51424,0.21704,1.87762,2.25717,1.24704,0.00096266,0.00096266,0.00096266
51,1632.88,1.55662,1.23148,1.0199,0.3284,0.75,0.51424,0.21704,1.87762,2.25717,1.24704,0.000953143,0.000953143,0.000953143
52,1662.78,1.27644,0.89763,0.97634,0.7834,0.5,0.41026,0.08127,2.54815,3.17403,1.68283,0.000943626,0.000943626,0.000943626
53,1693.39,1.82963,1.0611,1.16059,0.7834,0.5,0.41026,0.08127,2.54815,3.17403,1.68283,0.000934109,0.000934109,0.000934109
54,1723.41,0.98948,1.27855,0.75233,0.7834,0.5,0.41026,0.08127,2.54815,3.17403,1.68283,0.000924592,0.000924592,0.000924592
55,1753.71,1.36143,0.89534,0.99947,0.15867,0.25,0.19204,0.07139,2.39431,3.5849,1.60769,0.000915074,0.000915074,0.000915074
56,1783.79,1.08056,0.85403,0.99688,0.15867,0.25,0.19204,0.07139,2.39431,3.5849,1.60769,0.000905557,0.000905557,0.000905557
57,1814.3,1.29244,0.97335,1.05314,0.35814,0.5,0.57212,0.16112,1.99592,3.55226,1.34012,0.00089604,0.00089604,0.00089604
58,1844.33,1.04827,0.78355,0.9257,0.35814,0.5,0.57212,0.16112,1.99592,3.55226,1.34012,0.000886523,0.000886523,0.000886523
59,1874.63,1.10409,1.04005,0.99314,0.35814,0.5,0.57212,0.16112,1.99592,3.55226,1.34012,0.000877006,0.000877006,0.000877006
60,1905.54,1.21196,0.82887,1.00743,0.98074,0.5,0.60992,0.24803,1.99527,3.05569,1.315,0.000867489,0.000867489,0.000867489
61,1936.51,1.1237,0.7675,0.87854,0.98074,0.5,0.60992,0.24803,1.99527,3.05569,1.315,0.000857972,0.000857972,0.000857972
62,1966.09,1.05413,0.76446,0.86252,0.98074,0.5,0.60992,0.24803,1.99527,3.05569,1.315,0.000848454,0.000848454,0.000848454
63,1997.63,1.25169,1.14606,0.99219,0.34218,0.57577,0.42833,0.11601,2.37257,3.23143,1.51487,0.000838937,0.000838937,0.000838937
64,2027.29,1.14807,0.83809,0.9966,0.34218,0.57577,0.42833,0.11601,2.37257,3.23143,1.51487,0.00082942,0.00082942,0.00082942
