epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,341.792,2.26637,3.81238,1.3425,0.0055,1,0.17551,0.06456,1.98337,4.21636,1.47295,0.00121679,0.00121679,0.00121679
17,363.022,1.94243,3.27631,1.35609,0.00388,0.78571,0.13546,0.05506,2.13132,4.2527,1.52684,0.00120265,0.00120265,0.00120265
18,384.716,1.8779,3.07232,1.43298,0.72169,0.07143,0.17886,0.06787,2.2259,4.25691,1.61607,0.0011885,0.0011885,0.0011885
19,405.471,1.96099,4.49911,1.28598,0.72455,0.07143,0.11202,0.03829,2.20766,4.05516,1.70486,0.00117435,0.00117435,0.00117435
20,426.742,1.83475,3.06534,1.36201,0.09557,0.13223,0.12844,0.04007,2.2711,4.15207,1.8047,0.00116021,0.00116021,0.00116021
21,447.663,2.08711,3.52148,1.35755,0.57871,0.07143,0.173,0.05346,2.37477,3.93552,1.79665,0.00114606,0.00114606,0.00114606
22,468.449,1.90202,3.20337,1.393,0.57871,0.07143,0.173,0.05346,2.37477,3.93552,1.79665,0.00113191,0.00113191,0.00113191
23,490.389,2.04061,3.15072,1.31743,0.55313,0.07143,0.22595,0.05551,2.38411,3.87192,1.79243,0.00111776,0.00111776,0.00111776
24,511.545,1.96597,2.76361,1.29761,0.4931,0.17143,0.21116,0.05423,2.35516,4.01274,1.76485,0.00110362,0.00110362,0.00110362
25,531.925,1.77777,3.09735,1.28794,0.41747,0.17143,0.23203,0.05607,2.45007,4.05376,1.78884,0.00108947,0.00108947,0.00108947
26,553.932,1.98525,2.78898,1.36908,0.36153,0.34286,0.2538,0.07831,2.44254,3.81973,1.82106,0.00107532,0.00107532,0.00107532
27,574.599,1.80959,2.71363,1.24099,0.30104,0.34286,0.24916,0.08018,2.34762,3.44331,1.8164,0.00106118,0.00106118,0.00106118
28,595.392,1.84662,2.97114,1.31769,0.28208,0.41429,0.24188,0.0694,2.28645,3.36767,1.77003,0.00104703,0.00104703,0.00104703
29,617.009,1.8785,2.89568,1.25687,0.11851,0.17143,0.11431,0.03263,2.39961,3.65138,1.78504,0.00103288,0.00103288,0.00103288
30,638.172,1.73349,2.56444,1.29942,0.11851,0.17143,0.11431,0.03263,2.39961,3.65138,1.78504,0.00101873,0.00101873,0.00101873
31,658.856,1.6434,2.56222,1.23135,0.25009,0.17143,0.13985,0.02475,2.39825,3.65869,1.81577,0.00100459,0.00100459,0.00100459
32,684.01,1.60636,2.6747,1.20726,0.25783,0.24286,0.22475,0.03407,2.44588,3.47291,1.99374,0.00099044,0.00099044,0.00099044
33,707.428,1.73888,2.6025,1.27336,0.23176,0.27143,0.13218,0.02696,2.40095,3.75393,1.86107,0.000976293,0.000976293,0.000976293
34,731.482,1.70752,2.35774,1.22298,0.21591,0.17143,0.14827,0.06066,2.47482,3.99388,1.86944,0.000962146,0.000962146,0.000962146
35,755.171,1.55869,2.54498,1.18802,0.32335,0.17143,0.13429,0.0399,2.52463,3.56569,1.9697,0.000947999,0.000947999,0.000947999
36,778.719,1.75026,2.65305,1.26061,0.37689,0.16383,0.18152,0.03909,2.61198,3.20988,2.13818,0.000933851,0.000933851,0.000933851
37,803.731,1.60122,2.34672,1.16885,0.39014,0.1,0.20132,0.04299,2.59309,3.41171,1.98997,0.000919704,0.000919704,0.000919704
38,824.838,1.62599,2.1706,1.15335,0.39014,0.1,0.20132,0.04299,2.59309,3.41171,1.98997,0.000905557,0.000905557,0.000905557
39,846.592,1.61372,2.1191,1.23746,0.94614,0.1,0.16369,0.03791,2.57718,3.60734,1.93232,0.00089141,0.00089141,0.00089141
40,868.163,1.58824,2.0456,1.20156,0.28885,0.27143,0.18737,0.04535,2.45841,3.89442,1.91031,0.000877263,0.000877263,0.000877263
41,889.829,1.56953,2.1682,1.17132,0.30163,0.26976,0.2034,0.04782,2.45903,4.025,1.94329,0.000863116,0.000863116,0.000863116
42,912.641,1.71469,2.13835,1.25627,0.22097,0.44286,0.18666,0.04319,2.54464,3.78164,2.09883,0.000848969,0.000848969,0.000848969
43,934.01,1.71282,2.29006,1.29942,0.20037,0.40519,0.1639,0.03492,2.60173,3.68344,2.22281,0.000834822,0.000834822,0.000834822
44,960.121,1.6709,1.94711,1.30409,0.1857,0.51429,0.2356,0.04086,2.57722,3.73117,2.19372,0.000820675,0.000820675,0.000820675
45,986.986,1.67076,2.07289,1.22106,0.20209,0.27143,0.20715,0.0556,2.60862,3.62799,2.26431,0.000806528,0.000806528,0.000806528
46,1008.18,1.62163,2.32982,1.24764,0.20209,0.27143,0.20715,0.0556,2.60862,3.62799,2.26431,0.00079238,0.00079238,0.00079238
47,1030.95,1.47606,2.03034,1.18322,0.18434,0.27143,0.18439,0.05244,2.60517,3.86395,2.22959,0.000778233,0.000778233,0.000778233
