epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1703,2.90489,6.92604,1.94537,0,0,0,0,2.6644,6.24148,1.76254,8.574e-05,8.574e-05,8.574e-05
2,46.1967,2.99016,6.30063,1.8298,0.00052,0.07143,0.0003,0.00024,2.81361,5.79963,1.66336,0.000183931,0.000183931,0.000183931
3,68.2655,2.68598,5.70873,1.56673,0.00137,0.24286,0.00126,0.00028,2.47639,5.47794,1.45237,0.000280141,0.000280141,0.000280141
4,89.5793,2.56286,5.04079,1.42438,0.0035,0.68571,0.02505,0.00291,2.40892,5.31237,1.43947,0.000374371,0.000374371,0.000374371
5,110.229,2.41009,5.05152,1.31294,0.00352,0.68571,0.0067,0.00122,2.36268,5.20528,1.45378,0.00046662,0.00046662,0.00046662
6,131.377,2.36521,4.43047,1.38575,0.00216,0.47143,0.00412,0.00135,2.27925,5.04259,1.55274,0.000556888,0.000556888,0.000556888
7,152.119,2.48488,4.4846,1.42608,0.0017,0.37143,0.00191,0.00059,2.26783,5.30267,1.59767,0.000645176,0.000645176,0.000645176
8,172.94,2.29653,3.92063,1.48028,0.0004,0.1,0.00312,0.00039,2.36043,5.21606,1.64774,0.000731484,0.000731484,0.000731484
9,193.74,2.31448,3.68263,1.48368,0.0004,0.1,0.011,0.0033,2.44298,5.05955,1.81088,0.00081581,0.00081581,0.00081581
10,214.593,2.26751,3.38239,1.43684,0.00091,0.17143,0.00084,0.00039,2.34097,4.89862,1.68915,0.000898157,0.000898157,0.000898157
11,235.642,2.20324,4.03357,1.50845,0.00083,0.2,0.00086,0.00024,2.32553,4.80245,1.63097,0.000978522,0.000978522,0.000978522
12,257.78,2.22504,3.80556,1.34111,0.00165,0.37143,0.00363,0.0014,2.2164,4.75821,1.58535,0.00105691,0.00105691,0.00105691
13,278.618,2.05612,3.82549,1.45437,0.00222,0.44286,0.03092,0.00684,2.03953,4.5178,1.58916,0.00113331,0.00113331,0.00113331
14,298.832,2.05375,3.73555,1.4162,0.00222,0.44286,0.03092,0.00684,2.03953,4.5178,1.58916,0.00120774,0.00120774,0.00120774
15,320.903,2.12357,3.55108,1.38597,0.00394,0.65714,0.06603,0.0202,1.92084,4.35115,1.44459,0.00123094,0.00123094,0.00123094
